,"formula is  #=LEFT(B3,FIND(""_"",B3)-1)",,,Formula
,x,genus,samp.frac,genus
1,Chelydra_serpentina,Chelydra,,Chelydra
2,Podocnemis_expansa,Podocnemis,,Podocnemis
3,Gallus_gallus,Gallus,,Gallus
4,Dromaius_novaehollandiae,Dromaius,,Dromaius
5,Crocodylus_porosus,Crocodylus,,Crocodylus
6,Alligator_mississippiensis,Alligator,,Alligator
7,Sphenodon_punctatus,Sphenodon,,Sphenodon
8,Dibamus_bourreti,Dibamus,0.318,Dibamus
9,Dibamus_montanus,Dibamus,0.318,Dibamus
10,Dibamus_greeri,Dibamus,0.318,Dibamus
11,Anelytropsis_papillosus,Anelytropsis,0.318,Anelytropsis
12,Dibamus_tiomanensis,Dibamus,0.318,Dibamus
13,Dibamus_novaeguineae,Dibamus,0.318,Dibamus
14,Dibamus_seramensis,Dibamus,0.318,Dibamus
15,Dibamus_celebensis,Dibamus,0.318,Dibamus
16,Phyllurus_kabikabi,Phyllurus,0.333,Phyllurus
17,Phyllurus_amnicola,Phyllurus,0.333,Phyllurus
18,Phyllurus_platurus,Phyllurus,0.333,Phyllurus
19,Saltuarius_salebrosus,Saltuarius,0.857,Saltuarius
20,Saltuarius_cornutus,Saltuarius,0.857,Saltuarius
21,Saltuarius_wyberba,Saltuarius,0.857,Saltuarius
22,Saltuarius_swaini,Saltuarius,0.857,Saltuarius
23,Saltuarius_moritzi,Saltuarius,0.857,Saltuarius
24,Saltuarius_kateae,Saltuarius,0.857,Saltuarius
25,Orraya_occultus,Orraya,1,Orraya
26,Carphodactylus_laevis,Carphodactylus,1,Carphodactylus
27,Uvidicolus_sphyrurus,Uvidicolus,1,Uvidicolus
28,Underwoodisaurus_milii,Underwoodisaurus,1,Underwoodisaurus
29,Nephrurus_wheeleri,Nephrurus,,Nephrurus
30,Nephrurus_asper,Nephrurus,,Nephrurus
31,Nephrurus_amyae,Nephrurus,,Nephrurus
32,Nephrurus_sheai,Nephrurus,,Nephrurus
33,Nephrurus_levis,Nephrurus,,Nephrurus
34,Nephrurus_stellatus,Nephrurus,,Nephrurus
35,Nephrurus_vertebralis,Nephrurus,,Nephrurus
36,Nephrurus_laevissimus,Nephrurus,,Nephrurus
37,Nephrurus_deleani,Nephrurus,,Nephrurus
38,Delma_concinna,Delma,,Delma
39,Delma_labialis,Delma,,Delma
40,Delma_torquata,Delma,,Delma
41,Delma_australis,Delma,,Delma
42,Delma_borea,Delma,,Delma
43,Delma_tincta,Delma,,Delma
44,Delma_pax,Delma,,Delma
45,Delma_mitella,Delma,,Delma
46,Delma_molleri,Delma,,Delma
47,Delma_impar,Delma,,Delma
48,Delma_nasuta,Delma,,Delma
49,Delma_butleri,Delma,,Delma
50,Delma_inornata,Delma,,Delma
51,Delma_fraseri,Delma,,Delma
52,Delma_grayii,Delma,,Delma
53,Ophidiocephalus_taeniatus,Ophidiocephalus,,Ophidiocephalus
54,Lialis_jicari,Lialis,,Lialis
55,Lialis_burtonis,Lialis,,Lialis
56,Pletholax_gracilis,Pletholax,,Pletholax
57,Paradelma_orientalis,Paradelma,,Paradelma
58,Pygopus_lepidopodus,Pygopus,,Pygopus
59,Pygopus_nigriceps,Pygopus,,Pygopus
60,Aprasia_aurita,Aprasia,,Aprasia
61,Aprasia_parapulchella,Aprasia,,Aprasia
62,Aprasia_pseudopulchella,Aprasia,,Aprasia
63,Aprasia_striolata,Aprasia,,Aprasia
64,Aprasia_inaurita,Aprasia,,Aprasia
65,Aprasia_picturata,Aprasia,,Aprasia
66,Aprasia_pulchella,Aprasia,,Aprasia
67,Aprasia_rostrata,Aprasia,,Aprasia
68,Aprasia_smithi,Aprasia,,Aprasia
69,Aprasia_repens,Aprasia,,Aprasia
70,Pseudothecadactylus_lindneri,Pseudothecadactylus,,Pseudothecadactylus
71,Rhacodactylus_trachyrhynchus,Rhacodactylus,,Rhacodactylus
72,Oedodera_marmorata,Oedodera,,Oedodera
73,Dierogekko_poumensis,Dierogekko,,Dierogekko
74,Dierogekko_inexpectatus,Dierogekko,,Dierogekko
75,Dierogekko_nehoueensis,Dierogekko,,Dierogekko
76,Dierogekko_validiclavis,Dierogekko,,Dierogekko
77,Dierogekko_insularis,Dierogekko,,Dierogekko
78,Dierogekko_koniambo,Dierogekko,,Dierogekko
79,Dierogekko_thomaswhitei,Dierogekko,,Dierogekko
80,Dierogekko_kaalaensis,Dierogekko,,Dierogekko
81,Rhacodactylus_auriculatus,Rhacodactylus,,Rhacodactylus
82,Correlophus_ciliatus,Correlophus,,Correlophus
83,Correlophus_sarasinorum,Correlophus,,Correlophus
84,Eurydactylodes_symmetricus,Eurydactylodes,,Eurydactylodes
85,Mniarogekko_chahoua,Mniarogekko,,Mniarogekko
86,Eurydactylodes_occidentalis,Eurydactylodes,,Eurydactylodes
87,Eurydactylodes_vieillardi,Eurydactylodes,,Eurydactylodes
88,Eurydactylodes_agricolae,Eurydactylodes,,Eurydactylodes
89,Rhacodactylus_leachianus,Rhacodactylus,,Rhacodactylus
90,Paniegekko_madjo,Paniegekko,,Paniegekko
91,Bavayia_goroensis,Bavayia,,Bavayia
92,Bavayia_ornata,Bavayia,,Bavayia
93,Bavayia_cyclura,Bavayia,,Bavayia
94,Bavayia_montana,Bavayia,,Bavayia
95,Bavayia_pulchella,Bavayia,,Bavayia
96,Bavayia_sauvagii,Bavayia,,Bavayia
97,Bavayia_geitaina,Bavayia,,Bavayia
98,Crenadactylus_ocellatus,Crenadactylus,,Crenadactylus
99,Hoplodactylus_duvaucelii,Hoplodactylus,,Hoplodactylus
100,Woodworthia_maculatus,Woodworthia,,Woodworthia
101,Woodworthia_chrysosireticus,Woodworthia,,Woodworthia
102,Toropuku_stephensi,Toropuku,,Toropuku
103,Dactylocnemis_pacificus,Dactylocnemis,,Dactylocnemis
104,Mokopirirakau_nebulosus,Mokopirirakau,,Mokopirirakau
105,Mokopirirakau_cryptozoicus,Mokopirirakau,,Mokopirirakau
106,Mokopirirakau_kahutarae,Mokopirirakau,,Mokopirirakau
107,Mokopirirakau_granulatus,Mokopirirakau,,Mokopirirakau
108,Tukutuku_rakiurae,Tukutuku,,Tukutuku
109,Naultinus_gemmeus,Naultinus,,Naultinus
110,Naultinus_elegans,Naultinus,,Naultinus
111,Naultinus_grayii,Naultinus,,Naultinus
112,Naultinus_stellatus,Naultinus,,Naultinus
113,Naultinus_tuberculatus,Naultinus,,Naultinus
114,Naultinus_manukanus,Naultinus,,Naultinus
115,Naultinus_tuberculatus2,Naultinus,,Naultinus
116,Naultinus_rudis,Naultinus,,Naultinus
117,Nebulifera_robusta,Nebulifera,,Nebulifera
118,Strophurus_taenicauda,Strophurus,,Strophurus
119,Amalosia_lesueurii,Amalosia,,Amalosia
120,Amalosia_obscura,Amalosia,,Amalosia
121,Amalosia_rhombifer,Amalosia,,Amalosia
122,Hesperoedura_reticulata,Hesperoedura,,Hesperoedura
123,Oedura_marmorata,Oedura,,Oedura
124,Oedura_gemmata,Oedura,,Oedura
125,Oedura_filicipoda,Oedura,,Oedura
126,Oedura_gracilis,Oedura,,Oedura
127,Oedura_monilis,Oedura,,Oedura
128,Oedura_tryoni,Oedura,,Oedura
129,Oedura_castelnaui,Oedura,,Oedura
130,Oedura_coggeri,Oedura,,Oedura
131,Strophurus_taeniatus,Strophurus,,Strophurus
132,Strophurus_mcmillani,Strophurus,,Strophurus
133,Strophurus_jeanae,Strophurus,,Strophurus
134,Strophurus_elderi,Strophurus,,Strophurus
135,Strophurus_strophurus,Strophurus,,Strophurus
136,Strophurus_assimilis,Strophurus,,Strophurus
137,Strophurus_krisalys,Strophurus,,Strophurus
138,Strophurus_ciliaris,Strophurus,,Strophurus
139,Strophurus_wellingtonae,Strophurus,,Strophurus
140,Strophurus_williamsi,Strophurus,,Strophurus
141,Strophurus_intermedius,Strophurus,,Strophurus
142,Strophurus_rankini,Strophurus,,Strophurus
143,Strophurus_spinigerus,Strophurus,,Strophurus
144,Rhynchoedura_ornata,Rhynchoedura,,Rhynchoedura
145,Lucasium_byrnei,Lucasium,,Lucasium
146,Lucasium_alboguttatum,Lucasium,,Lucasium
147,Lucasium_maini,Lucasium,,Lucasium
148,Lucasium_damaeum,Lucasium,,Lucasium
149,Lucasium_immaculatum,Lucasium,,Lucasium
150,Lucasium_steindachneri,Lucasium,,Lucasium
151,Lucasium_wombeyi,Lucasium,,Lucasium
152,Lucasium_squarrosum,Lucasium,,Lucasium
153,Lucasium_stenodactylum,Lucasium,,Lucasium
154,Diplodactylus_granariensis,Diplodactylus,,Diplodactylus
155,Diplodactylus_vittatus,Diplodactylus,,Diplodactylus
156,Diplodactylus_fulleri,Diplodactylus,,Diplodactylus
157,Diplodactylus_galeatus,Diplodactylus,,Diplodactylus
158,Diplodactylus_tessellatus,Diplodactylus,,Diplodactylus
159,Diplodactylus_ornatus,Diplodactylus,,Diplodactylus
160,Diplodactylus_polyophthalmus,Diplodactylus,,Diplodactylus
161,Diplodactylus_conspicillatus,Diplodactylus,,Diplodactylus
162,Diplodactylus_mitchelli,Diplodactylus,,Diplodactylus
163,Diplodactylus_capensis,Diplodactylus,,Diplodactylus
164,Diplodactylus_savagei,Diplodactylus,,Diplodactylus
165,Diplodactylus_klugei,Diplodactylus,,Diplodactylus
166,Diplodactylus_pulcher,Diplodactylus,,Diplodactylus
167,Aeluroscalabotes_felinus,Aeluroscalabotes,,Aeluroscalabotes
168,Coleonyx_brevis,Coleonyx,,Coleonyx
169,Coleonyx_variegatus,Coleonyx,,Coleonyx
170,Coleonyx_mitratus,Coleonyx,,Coleonyx
171,Coleonyx_elegans,Coleonyx,,Coleonyx
172,Goniurosaurus_kuroiwae,Goniurosaurus,,Goniurosaurus
173,Goniurosaurus_lichtenfelderi,Goniurosaurus,,Goniurosaurus
174,Goniurosaurus_catbaensis,Goniurosaurus,,Goniurosaurus
175,Goniurosaurus_luii,Goniurosaurus,,Goniurosaurus
176,Goniurosaurus_araneus,Goniurosaurus,,Goniurosaurus
177,Eublepharis_macularius,Eublepharis,,Eublepharis
178,Eublepharis_turcmenicus,Eublepharis,,Eublepharis
179,Holodactylus_africanus,Holodactylus,,Holodactylus
180,Hemitheconyx_taylori,Hemitheconyx,,Hemitheconyx
181,Hemitheconyx_caudicinctus,Hemitheconyx,,Hemitheconyx
182,Saurodactylus_mauritanicus,Saurodactylus,,Saurodactylus
183,Teratoscincus_microlepis,Teratoscincus,,Teratoscincus
184,Teratoscincus_scincus,Teratoscincus,,Teratoscincus
185,Teratoscincus_roborowskii,Teratoscincus,,Teratoscincus
186,Teratoscincus_przewalskii,Teratoscincus,,Teratoscincus
187,Euleptes_europaea,Euleptes,,Euleptes
188,Saurodactylus_fasciatus,Saurodactylus,,Saurodactylus
189,Quedenfeldtia_trachyblepharus,Quedenfeldtia,,Quedenfeldtia
190,Quedenfeldtia_moerens,Quedenfeldtia,,Quedenfeldtia
191,Aristelliger_lar,Aristelliger,,Aristelliger
192,Aristelliger_georgeensis,Aristelliger,,Aristelliger
193,Aristelliger_praesignis,Aristelliger,,Aristelliger
194,Pristurus_celerrimus,Pristurus,,Pristurus
195,Pristurus_insignis,Pristurus,,Pristurus
196,Pristurus_guichardi,Pristurus,,Pristurus
197,Pristurus_sokotranus,Pristurus,,Pristurus
198,Pristurus_minimus,Pristurus,,Pristurus
199,Pristurus_carteri,Pristurus,,Pristurus
200,Pristurus_crucifer,Pristurus,,Pristurus
201,Pristurus_somalicus,Pristurus,,Pristurus
202,Pristurus_abdelkuri,Pristurus,,Pristurus
203,Pristurus_rupestris,Pristurus,,Pristurus
204,Pristurus_flavipunctatus,Pristurus,,Pristurus
205,Chatogekko_amazonicus,Chatogekko,,Chatogekko
206,Lepidoblepharis_festae,Lepidoblepharis,,Lepidoblepharis
207,Lepidoblepharis_xanthostigma,Lepidoblepharis,,Lepidoblepharis
208,Gonatodes_caudiscutatus,Gonatodes,,Gonatodes
209,Gonatodes_eladioi,Gonatodes,,Gonatodes
210,Gonatodes_daudini,Gonatodes,,Gonatodes
211,Gonatodes_albogularis,Gonatodes,,Gonatodes
212,Gonatodes_petersi,Gonatodes,,Gonatodes
213,Gonatodes_vittatus,Gonatodes,,Gonatodes
214,Gonatodes_infernalis,Gonatodes,,Gonatodes
215,Gonatodes_hasemani,Gonatodes,,Gonatodes
216,Gonatodes_annularis,Gonatodes,,Gonatodes
217,Gonatodes_superciliaris,Gonatodes,,Gonatodes
218,Gonatodes_alexandermendesi,Gonatodes,,Gonatodes
219,Gonatodes_purpurogularis,Gonatodes,,Gonatodes
220,Gonatodes_taniae,Gonatodes,,Gonatodes
221,Gonatodes_falconensis,Gonatodes,,Gonatodes
222,Gonatodes_seigliei,Gonatodes,,Gonatodes
223,Gonatodes_ceciliae,Gonatodes,,Gonatodes
224,Gonatodes_ocellatus,Gonatodes,,Gonatodes
225,Gonatodes_humeralis,Gonatodes,,Gonatodes
226,Gonatodes_antillensis,Gonatodes,,Gonatodes
227,Gonatodes_concinnatus,Gonatodes,,Gonatodes
228,Coleodactylus_septentrionalis,Coleodactylus,,Coleodactylus
229,Coleodactylus_brachystoma,Coleodactylus,,Coleodactylus
230,Coleodactylus_meridionalis,Coleodactylus,,Coleodactylus
231,Coleodactylus_natalensis,Coleodactylus,,Coleodactylus
232,Pseudogonatodes_manessi,Pseudogonatodes,,Pseudogonatodes
233,Pseudogonatodes_lunulatus,Pseudogonatodes,,Pseudogonatodes
234,Pseudogonatodes_guianensis,Pseudogonatodes,,Pseudogonatodes
235,Sphaerodactylus_parvus,Sphaerodactylus,,Sphaerodactylus
236,Sphaerodactylus_sabanus,Sphaerodactylus,,Sphaerodactylus
237,Sphaerodactylus_elegantulus,Sphaerodactylus,,Sphaerodactylus
238,Sphaerodactylus_fantasticus,Sphaerodactylus,,Sphaerodactylus
239,Sphaerodactylus_sputator,Sphaerodactylus,,Sphaerodactylus
240,Sphaerodactylus_microlepis,Sphaerodactylus,,Sphaerodactylus
241,Sphaerodactylus_vincenti,Sphaerodactylus,,Sphaerodactylus
242,Sphaerodactylus_kirbyi,Sphaerodactylus,,Sphaerodactylus
243,Sphaerodactylus_schwartzi,Sphaerodactylus,,Sphaerodactylus
244,Sphaerodactylus_richardi,Sphaerodactylus,,Sphaerodactylus
245,Sphaerodactylus_oliveri,Sphaerodactylus,,Sphaerodactylus
246,Sphaerodactylus_ramsdeni,Sphaerodactylus,,Sphaerodactylus
247,Sphaerodactylus_cricoderus,Sphaerodactylus,,Sphaerodactylus
248,Sphaerodactylus_thompsoni,Sphaerodactylus,,Sphaerodactylus
249,Sphaerodactylus_molei,Sphaerodactylus,,Sphaerodactylus
250,Sphaerodactylus_glaucus,Sphaerodactylus,,Sphaerodactylus
251,Sphaerodactylus_cinereus,Sphaerodactylus,,Sphaerodactylus
252,Sphaerodactylus_torrei,Sphaerodactylus,,Sphaerodactylus
253,Sphaerodactylus_intermedius,Sphaerodactylus,,Sphaerodactylus
254,Sphaerodactylus_nigropunctatus,Sphaerodactylus,,Sphaerodactylus
255,Sphaerodactylus_copei,Sphaerodactylus,,Sphaerodactylus
256,Sphaerodactylus_leucaster,Sphaerodactylus,,Sphaerodactylus
257,Sphaerodactylus_elegans,Sphaerodactylus,,Sphaerodactylus
258,Sphaerodactylus_shrevei,Sphaerodactylus,,Sphaerodactylus
259,Sphaerodactylus_cryphius,Sphaerodactylus,,Sphaerodactylus
260,Sphaerodactylus_darlingtoni,Sphaerodactylus,,Sphaerodactylus
261,Sphaerodactylus_notatus,Sphaerodactylus,,Sphaerodactylus
262,Sphaerodactylus_altavelensis,Sphaerodactylus,,Sphaerodactylus
263,Sphaerodactylus_roosevelti,Sphaerodactylus,,Sphaerodactylus
264,Sphaerodactylus_argus,Sphaerodactylus,,Sphaerodactylus
265,Sphaerodactylus_macrolepis,Sphaerodactylus,,Sphaerodactylus
266,Sphaerodactylus_armstrongi,Sphaerodactylus,,Sphaerodactylus
267,Sphaerodactylus_townsendi,Sphaerodactylus,,Sphaerodactylus
268,Sphaerodactylus_semasiops,Sphaerodactylus,,Sphaerodactylus
269,Sphaerodactylus_goniorhynchus,Sphaerodactylus,,Sphaerodactylus
270,Sphaerodactylus_klauberi,Sphaerodactylus,,Sphaerodactylus
271,Sphaerodactylus_gaigeae,Sphaerodactylus,,Sphaerodactylus
272,Sphaerodactylus_ocoae,Sphaerodactylus,,Sphaerodactylus
273,Sphaerodactylus_nicholsi,Sphaerodactylus,,Sphaerodactylus
274,Thecadactylus_solimoensis,Thecadactylus,,Thecadactylus
275,Thecadactylus_rapicauda,Thecadactylus,,Thecadactylus
276,Haemodracon_riebeckii,Haemodracon,,Haemodracon
277,Asaccus_platyrhynchus,Asaccus,,Asaccus
278,Ptyodactylus_oudrii,Ptyodactylus,,Ptyodactylus
279,Ptyodactylus_ragazzii,Ptyodactylus,,Ptyodactylus
280,Ptyodactylus_hasselquistii,Ptyodactylus,,Ptyodactylus
281,Ptyodactylus_guttatus,Ptyodactylus,,Ptyodactylus
282,Garthia_gaudichaudii,Garthia,,Garthia
283,Homonota_fasciata,Homonota,,Homonota
284,Homonota_borellii,Homonota,,Homonota
285,Homonota_underwoodi,Homonota,,Homonota
286,Homonota_darwinii,Homonota,,Homonota
287,Homonota_andicola,Homonota,,Homonota
288,Phyllodactylus_wirshingi,Phyllodactylus,,Phyllodactylus
289,Phyllodactylus_reissii,Phyllodactylus,,Phyllodactylus
290,Phyllodactylus_tuberculosus,Phyllodactylus,,Phyllodactylus
291,Phyllodactylus_lanei,Phyllodactylus,,Phyllodactylus
292,Phyllodactylus_bordai,Phyllodactylus,,Phyllodactylus
293,Phyllodactylus_xanti,Phyllodactylus,,Phyllodactylus
294,Phyllodactylus_unctus,Phyllodactylus,,Phyllodactylus
295,Phyllodactylus_bugastrolepis,Phyllodactylus,,Phyllodactylus
296,Phyllodactylus_nocticolus,Phyllodactylus,,Phyllodactylus
297,Phyllodactylus_paucituberculatus,Phyllodactylus,,Phyllodactylus
298,Phyllodactylus_delcampoi,Phyllodactylus,,Phyllodactylus
299,Phyllodactylus_homolepidurus,Phyllodactylus,,Phyllodactylus
300,Phyllodactylus_duellmani,Phyllodactylus,,Phyllodactylus
301,Phyllodactylus_davisi,Phyllodactylus,,Phyllodactylus
302,Phyllopezus_periosus,Phyllopezus,,Phyllopezus
303,Phyllopezus_pollicaris,Phyllopezus,,Phyllopezus
304,Phyllopezus_maranjonensis,Phyllopezus,,Phyllopezus
305,Phyllopezus_lutzae,Phyllopezus,,Phyllopezus
306,Tarentola_americana,Tarentola,,Tarentola
307,Tarentola_deserti,Tarentola,,Tarentola
308,Tarentola_boehmei,Tarentola,,Tarentola
309,Tarentola_mauritanica,Tarentola,,Tarentola
310,Tarentola_angustimentalis,Tarentola,,Tarentola
311,Tarentola_mindiae,Tarentola,,Tarentola
312,Tarentola_neglecta,Tarentola,,Tarentola
313,Tarentola_boettgeri,Tarentola,,Tarentola
314,Tarentola_annularis,Tarentola,,Tarentola
315,Tarentola_ephippiata,Tarentola,,Tarentola
316,Tarentola_gomerensis,Tarentola,,Tarentola
317,Tarentola_chazaliae,Tarentola,,Tarentola
318,Tarentola_delalandii,Tarentola,,Tarentola
319,Tarentola_darwini,Tarentola,,Tarentola
320,Tarentola_rudis,Tarentola,,Tarentola
321,Tarentola_gigas,Tarentola,,Tarentola
322,Tarentola_caboverdiana,Tarentola,,Tarentola
323,Microgecko_helenae,Microgecko,,Microgecko
324,Alsophylax_pipiens,Alsophylax,,Alsophylax
325,Cnemaspis_kendallii,Cnemaspis,,Cnemaspis
326,Cnemaspis_limi,Cnemaspis,,Cnemaspis
327,Lepidodactylus_novaeguineae,Lepidodactylus,,Lepidodactylus
328,Pseudogekko_compressicorpus,Pseudogekko,,Pseudogekko
329,Pseudogekko_smaragdinus,Pseudogekko,,Pseudogekko
330,Luperosaurus_joloensis,Luperosaurus,,Luperosaurus
331,Lepidodactylus_lugubris,Lepidodactylus,,Lepidodactylus
332,Lepidodactylus_moestus,Lepidodactylus,,Lepidodactylus
333,Lepidodactylus_orientalis,Lepidodactylus,,Lepidodactylus
334,Luperosaurus_cumingii,Luperosaurus,,Luperosaurus
335,Luperosaurus_macgregori,Luperosaurus,,Luperosaurus
336,Gekko_gecko,Gekko,,Gekko
337,Gekko_smithii,Gekko,,Gekko
338,Gekko_chinensis,Gekko,,Gekko
339,Gekko_japonicus,Gekko,,Gekko
340,Gekko_hokouensis,Gekko,,Gekko
341,Gekko_auriverrucosus,Gekko,,Gekko
342,Gekko_swinhonis,Gekko,,Gekko
343,Gekko_athymus,Gekko,,Gekko
344,Gekko_mindorensis,Gekko,,Gekko
345,Gekko_monarchus,Gekko,,Gekko
346,Gekko_romblon,Gekko,,Gekko
347,Gekko_porosus,Gekko,,Gekko
348,Gekko_crombota,Gekko,,Gekko
349,Ptychozoon_rhacophorus,Ptychozoon,,Ptychozoon
350,Ptychozoon_kuhli,Ptychozoon,,Ptychozoon
351,Ptychozoon_lionotum,Ptychozoon,,Ptychozoon
352,Gekko_vittatus,Gekko,,Gekko
353,Luperosaurus_iskandari,Luperosaurus,,Luperosaurus
354,Gekko_petricolus,Gekko,,Gekko
355,Gekko_badenii,Gekko,,Gekko
356,Gekko_grossmanni,Gekko,,Gekko
357,Dixonius_melanostictus,Dixonius,,Dixonius
358,Dixonius_vietnamensis,Dixonius,,Dixonius
359,Dixonius_siamensis,Dixonius,,Dixonius
360,Heteronotia_spelea,Heteronotia,,Heteronotia
361,Heteronotia_binoei,Heteronotia,,Heteronotia
362,Heteronotia_planiceps,Heteronotia,,Heteronotia
363,Nactus_acutus,Nactus,,Nactus
364,Nactus_eboracensis,Nactus,,Nactus
365,Nactus_vankampeni,Nactus,,Nactus
366,Nactus_pelagicus,Nactus,,Nactus
367,Nactus_multicarinatus,Nactus,,Nactus
368,Nactus_cheverti,Nactus,,Nactus
369,Nactus_galgajuga,Nactus,,Nactus
370,Hemiphyllodactylus_typus,Hemiphyllodactylus,,Hemiphyllodactylus
371,Hemiphyllodactylus_yunnanensis,Hemiphyllodactylus,,Hemiphyllodactylus
372,Hemiphyllodactylus_aurantiacus,Hemiphyllodactylus,,Hemiphyllodactylus
373,Gehyra_mutilata,Gehyra,,Gehyra
374,Gehyra_fehlmanni,Gehyra,,Gehyra
375,Gehyra_lacerata,Gehyra,,Gehyra
376,Gehyra_brevipalmata,Gehyra,,Gehyra
377,Gehyra_marginata,Gehyra,,Gehyra
378,Gehyra_oceanica,Gehyra,,Gehyra
379,Gehyra_baliola,Gehyra,,Gehyra
380,Gehyra_barea,Gehyra,,Gehyra
381,Gehyra_membranacruralis,Gehyra,,Gehyra
382,Gehyra_catenata,Gehyra,,Gehyra
383,Gehyra_dubia,Gehyra,,Gehyra
384,Gehyra_australis,Gehyra,,Gehyra
385,Gehyra_occidentalis,Gehyra,,Gehyra
386,Gehyra_koira,Gehyra,,Gehyra
387,Gehyra_borroloola,Gehyra,,Gehyra
388,Gehyra_pamela,Gehyra,,Gehyra
389,Gehyra_robusta,Gehyra,,Gehyra
390,Gehyra_xenopus,Gehyra,,Gehyra
391,Gehyra_nana,Gehyra,,Gehyra
392,Gehyra_variegata,Gehyra,,Gehyra
393,Gehyra_purpurascens,Gehyra,,Gehyra
394,Gehyra_punctata,Gehyra,,Gehyra
395,Gehyra_montium,Gehyra,,Gehyra
396,Gehyra_pilbara,Gehyra,,Gehyra
397,Gehyra_minuta,Gehyra,,Gehyra
398,Mediodactylus_russowii,Mediodactylus,,Mediodactylus
399,Mediodactylus_spinicauda,Mediodactylus,,Mediodactylus
400,Pseudoceramodactylus_khobarensis,Pseudoceramodactylus,,Pseudoceramodactylus
401,Tropiocolotes_tripolitanus,Tropiocolotes,,Tropiocolotes
402,Stenodactylus_arabicus,Stenodactylus,,Stenodactylus
403,Stenodactylus_petrii,Stenodactylus,,Stenodactylus
404,Stenodactylus_yemenensis,Stenodactylus,,Stenodactylus
405,Stenodactylus_sthenodactylus,Stenodactylus,,Stenodactylus
406,Stenodactylus_doriae,Stenodactylus,,Stenodactylus
407,Stenodactylus_leptocosymbotes,Stenodactylus,,Stenodactylus
408,Mediodactylus_kotschyi,Mediodactylus,,Mediodactylus
409,Mediodactylus_sagittifer,Mediodactylus,,Mediodactylus
410,Mediodactylus_heteropholis,Mediodactylus,,Mediodactylus
411,Mediodactylus_heterocercus,Mediodactylus,,Mediodactylus
412,Agamura_persica,Agamura,,Agamura
413,Bunopus_tuberculatus,Bunopus,,Bunopus
414,Bunopus_crassicauda,Bunopus,,Bunopus
415,Crossobamon_orientalis,Crossobamon,,Crossobamon
416,Cyrtopodion_sistanense,Cyrtopodion,,Cyrtopodion
417,Cyrtopodion_scabrum,Cyrtopodion,,Cyrtopodion
418,Tenuidactylus_longipes,Tenuidactylus,,Tenuidactylus
419,Tenuidactylus_caspius,Tenuidactylus,,Tenuidactylus
420,Cyrtopodion_agamuroides,Cyrtopodion,,Cyrtopodion
421,Cyrtopodion_gastrophole,Cyrtopodion,,Cyrtopodion
422,Cyrtodactylus_oldhami,Cyrtodactylus,,Cyrtodactylus
423,Cyrtodactylus_ayeyarwadyensis,Cyrtodactylus,,Cyrtodactylus
424,Cyrtodactylus_angularis,Cyrtodactylus,,Cyrtodactylus
425,Cyrtodactylus_jarujini,Cyrtodactylus,,Cyrtodactylus
426,Cyrtodactylus_triedrus,Cyrtodactylus,,Cyrtodactylus
427,Cyrtodactylus_marmoratus,Cyrtodactylus,,Cyrtodactylus
428,Cyrtodactylus_consobrinus,Cyrtodactylus,,Cyrtodactylus
429,Cyrtodactylus_irregularis,Cyrtodactylus,,Cyrtodactylus
430,Cyrtodactylus_annulatus,Cyrtodactylus,,Cyrtodactylus
431,Cyrtodactylus_philippinicus,Cyrtodactylus,,Cyrtodactylus
432,Cyrtodactylus_agusanensis,Cyrtodactylus,,Cyrtodactylus
433,Cyrtodactylus_intermedius,Cyrtodactylus,,Cyrtodactylus
434,Cyrtodactylus_pulchellus,Cyrtodactylus,,Cyrtodactylus
435,Cyrtodactylus_sermowaiensis,Cyrtodactylus,,Cyrtodactylus
436,Cyrtodactylus_loriae,Cyrtodactylus,,Cyrtodactylus
437,Cyrtodactylus_novaeguineae,Cyrtodactylus,,Cyrtodactylus
438,Cyrtodactylus_tuberculatus,Cyrtodactylus,,Cyrtodactylus
439,Cyrtodactylus_klugei,Cyrtodactylus,,Cyrtodactylus
440,Cyrtodactylus_robustus,Cyrtodactylus,,Cyrtodactylus
441,Cyrtodactylus_tripartitus,Cyrtodactylus,,Cyrtodactylus
442,Cyrtodactylus_epiroticus,Cyrtodactylus,,Cyrtodactylus
443,Cyrtodactylus_louisiadensis,Cyrtodactylus,,Cyrtodactylus
444,Hemidactylus_fasciatus,Hemidactylus,,Hemidactylus
445,Hemidactylus_bowringii,Hemidactylus,,Hemidactylus
446,Hemidactylus_garnotii,Hemidactylus,,Hemidactylus
447,Hemidactylus_platyurus,Hemidactylus,,Hemidactylus
448,Hemidactylus_karenorum,Hemidactylus,,Hemidactylus
449,Hemidactylus_aaronbaueri,Hemidactylus,,Hemidactylus
450,Hemidactylus_giganteus,Hemidactylus,,Hemidactylus
451,Hemidactylus_depressus,Hemidactylus,,Hemidactylus
452,Hemidactylus_triedrus,Hemidactylus,,Hemidactylus
453,Hemidactylus_maculatus,Hemidactylus,,Hemidactylus
454,Hemidactylus_prashadi,Hemidactylus,,Hemidactylus
455,Hemidactylus_leschenaultii,Hemidactylus,,Hemidactylus
456,Hemidactylus_flaviviridis,Hemidactylus,,Hemidactylus
457,Hemidactylus_frenatus,Hemidactylus,,Hemidactylus
458,Hemidactylus_brookii,Hemidactylus,,Hemidactylus
459,Hemidactylus_sataraensis,Hemidactylus,,Hemidactylus
